Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Trittfrequenz,Max. Trittfrequenz,Normalized Power® (NP®),Training Stress Score®,Maximale Ø Leistung (20 min),Ø Leistung,Max. Leistung,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Radfahren,2021-04-28 19:25:43,false,"Poing Radfahren","3,38","74","00:09:45,7","147","184","--","20,8","29,1","2","11","--","--","--","0,0","--","--","--","Nein","00:09:45,7","1","00:09:34","00:09:51,7","502","513"
Radfahren,2021-04-28 14:23:38,false,"Pliening Radfahren","3,75","77","00:12:18","134","184","--","18,3","23,9","12","--","--","--","--","0,0","--","--","--","Nein","00:12:18","1","00:11:47","00:12:48","503","516"
Virtuelles Radfahren,2021-04-28 12:28:59,false,"Zwift - Pebble Pounder - Active Recovery","12,75","126","00:33:09","147","163","0,0","23,1","53,4","48","--","92","116","69","0,0","71","67","91","Nein","00:00:10","15","00:33:00","00:33:08","4","65"
Radfahren,2021-04-26 15:15:01,false,"Pliening Radfahren","6,20","160","00:22:14","143","172","--","16,7","24,8","11","2","--","--","--","0,0","--","--","--","Nein","00:04:16,3","2","00:22:09","00:46:37","494","507"
Virtuelles Radfahren,2021-04-22 18:01:10,false,"Zwift - Pebble Pounder - Hard Starts","17,40","252","00:42:17","173","193","0,0","24,7","68,1","177","--","83","122","113","0,0","116","104","208","Nein","00:00:10","16","00:42:12","00:42:16","-6","58"
Virtuelles Radfahren,2021-04-20 16:18:18,false,"Zwift - Pebble Pounder - SST Over / Under 2","17,86","289","00:45:28","171","192","0,0","23,6","76,5","291","--","80","117","118","0,0","126","111","145","Nein","00:00:29","16","00:45:24","00:45:27","4","133"
Virtuelles Radfahren,2021-04-14 18:00:34,false,"Zwift - Pebble Pounder - VO2 Max - 3x5 Tabata Style","9,14","249","00:45:08","157","188","0,0","12,2","34,9","337","--","83","115","109","0,0","105","96","208","Nein","00:00:09","77","00:45:03","00:45:07","280","606"
Virtuelles Radfahren,2021-04-08 17:20:25,false,"Zwift - Pebble Pounder - Optional: Optional Miles (75min)","26,43","270","01:15:16","131","175","0,0","21,1","61,6","224","--","80","105","77","0,0","79","62","221","Nein","00:00:17","2","01:15:12","01:15:15","-6","58"
Virtuelles Radfahren,2021-04-06 16:20:49,false,"Zwift - Pebble Pounder - Paceline Work","18,32","220","00:38:48","158","185","0,0","28,3","47,8","60","--","85","111","110","0,0","116","99","167","Nein","00:00:30","20","00:38:47","00:38:47","11","31"
Virtuelles Radfahren,2021-04-01 12:08:19,false,"Zwift - Pebble Pounder - Big Gear SST - 3x5","17,01","206","00:35:10","161","187","0,0","29,0","46,5","50","--","79","109","111","0,0","117","102","145","Nein","00:00:11","15","00:35:05","00:35:09","11","31"
Virtuelles Radfahren,2021-03-23 17:03:38,false,"Zwift - Pebble Pounder - Big Gear SST - 2 x 6","12,64","175","00:30:11","150","174","0,0","25,1","56,4","90","--","80","112","109","0,0","113","101","145","Nein","00:00:12","14","00:30:06","00:30:10","3","47"
Virtuelles Radfahren,2021-03-21 11:48:41,false,"Zwift - Pebble Pounder - Leg Openers","9,73","157","00:30:14","159","195","0,0","19,3","58,7","173","--","89","114","106","0,0","104","90","169","Nein","00:00:15","15","00:30:09","00:30:13","5","97"
Virtuelles Radfahren,2021-03-16 17:48:47,false,"Zwift - Pebble Pounder - Active Recovery","6,25","126","00:33:08","145","163","0,0","11,3","31,7","161","--","93","116","69","0,0","71","66","91","Nein","00:00:09","15","00:33:02","00:33:07","280","431"
Virtuelles Radfahren,2021-03-13 12:39:47,false,"Zwift - Pebble Pounder - VO2 Max - 4x4 (40/20)","13,49","254","00:45:12","159","191","0,0","17,9","46,7","316","--","88","114","114","0,0","109","98","208","Nein","00:00:09","50","00:45:07","00:45:11","12","238"
Virtuelles Radfahren,2021-03-10 11:24:11,false,"Zwift - Pebble Pounder - Hard Starts","14,67","192","00:31:27","172","194","0,0","28,0","47,4","82","--","89","116","116","0,0","124","106","208","Nein","00:00:04","16","00:31:23","00:31:26","41","71"
Virtuelles Radfahren,2021-03-08 18:13:02,false,"Zwift - Pebble Pounder - SST Over / Under 2","15,72","269","00:40:51","170","187","0,0","23,1","82,4","293","--","81","109","121","0,0","127","115","145","Nein","00:00:09","16","00:40:46","00:40:50","97","183"
Virtuelles Radfahren,2021-03-04 17:26:40,false,"Zwift - Pebble Pounder - SST Bursts 10","17,99","249","00:40:11","170","195","0,0","26,9","46,5","114","--","82","107","117","0,0","126","108","426","Nein","00:00:12","30","00:40:06","00:40:10","41","71"
Virtuelles Radfahren,2021-03-02 16:57:51,false,"Zwift - Pebble Pounder - SST Over Under","9,06","235","00:41:53","157","183","0,0","13,0","34,8","313","--","81","114","105","0,0","109","99","285","Nein","00:00:30","20","00:41:06","00:41:53","280","581"
Virtuelles Radfahren,2021-02-27 17:40:04,false,"Zwift - Pebble Pounder - VO2 Max - 4x3 Ramps","19,17","218","00:41:18","159","196","0,0","27,9","43,5","71","--","88","106","109","0,0","107","92","187","Nein","00:00:10","22","00:41:12","00:41:17","10","34"
Radfahren,2021-02-24 15:17:25,false,"Pliening Radfahren","19,49","262","00:52:54","119","186","--","22,1","38,0","20","13","--","--","--","0,0","--","--","--","Nein","00:12:16","4","00:52:28","00:54:20","487","507"
Virtuelles Radfahren,2021-02-22 17:43:53,false,"Zwift - Pebble Pounder - Big Gear SST - 2x10","17,40","221","00:40:09","147","175","0,0","26,0","46,2","99","--","80","109","102","0,0","106","96","125","Nein","00:00:10","13","00:40:04","00:40:08","41","71"
Virtuelles Radfahren,2021-02-18 16:56:50,false,"Zwift - Pebble Pounder - Big Gear SST - 3x5","15,46","196","00:35:09","143","168","0,0","26,4","53,2","84","--","78","110","105","0,0","111","97","145","Nein","00:00:10","15","00:35:03","00:35:08","5","29"
Virtuelles Radfahren,2021-02-11 18:03:00,false,"Zwift - Pebble Pounder - SST Bursts 6","13,92","173","00:30:11","153","176","0,0","27,7","65,5","162","--","82","108","109","0,0","115","99","159","Nein","00:00:12","22","00:30:06","00:30:10","4","46"
Virtuelles Radfahren,2021-02-08 18:21:51,false,"Zwift - Pebble Pounder - Big Gear SST - 2 x 6","11,68","175","00:30:18","142","171","0,0","23,1","79,1","213","--","76","112","109","0,0","112","101","145","Nein","00:00:19","14","00:30:17","00:30:17","97","183"
Indoor Cycling,2021-02-03 17:00:47,false,"Indoor Cycling","0,00","221","00:30:00","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:00:00","1","00:00:00","00:00:00","--","--"
Virtuelles Radfahren,2021-01-29 15:59:16,false,"Zwift - Technique: 3X3 IM, 3X3 70.3, 3X3 SST High Cadence","25,29","359","01:05:08","--","--","0,0","23,3","61,4","405","--","80","107","100","0,0","105","96","122","Nein","00:00:09","21","01:05:03","01:05:07","4","64"
Indoor Cycling,2021-01-29 15:58:57,false,"Indoor Cycling","0,00","498","01:05:14","153","179","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","01:05:14","1","00:00:00","01:05:14","--","--"
Indoor Cycling,2021-01-27 16:31:44,false,"Indoor Cycling","0,00","394","00:48:31","153","182","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:48:31","1","00:00:00","00:48:31","--","--"
Indoor Cycling,2021-01-25 16:22:34,false,"Indoor Cycling","0,00","387","00:42:58","168","210","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:42:58","1","00:00:00","00:42:58","--","--"
Indoor Cycling,2021-01-22 14:59:56,false,"Indoor Cycling","0,00","517","02:00:23","124","151","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","02:00:23","1","00:00:00","02:00:23","--","--"
Indoor Cycling,2021-01-21 18:19:09,false,"Indoor Cycling","0,00","240","00:30:08","150","186","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:30:08","1","00:00:00","00:32:08","--","--"
Indoor Cycling,2021-01-20 12:48:56,false,"Indoor Cycling","0,00","176","00:33:15","124","141","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:33:15","1","00:00:00","00:33:15","--","--"
Indoor Cycling,2021-01-17 11:35:33,false,"Indoor Cycling","0,00","377","00:48:20","154","185","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:48:20","1","00:00:00","00:51:22","--","--"
Indoor Cycling,2021-01-15 15:41:35,false,"Indoor Cycling","0,00","449","01:45:00","122","142","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","01:45:00","1","00:00:00","01:45:00","--","--"
Indoor Cycling,2021-01-14 18:20:25,false,"Indoor Cycling","0,00","314","00:39:59","150","175","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:39:59","1","00:00:00","00:39:59","--","--"
Indoor Cycling,2021-01-12 18:40:11,false,"Indoor Cycling","0,00","243","00:25:18","173","189","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:25:18","1","00:00:00","00:25:18","--","--"
Indoor Cycling,2021-01-12 18:13:26,false,"Indoor Cycling","0,00","61","00:26:34","87","153","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:26:34","1","00:00:00","00:26:34","--","--"
Indoor Cycling,2021-01-10 18:01:45,false,"Indoor Cycling","0,00","341","00:45:15","150","178","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:45:15","1","00:00:00","00:45:15","--","--"
Indoor Cycling,2021-01-08 16:25:42,false,"Indoor Cycling","0,00","433","01:30:47","125","150","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","01:30:47","1","00:00:00","01:30:47","--","--"
Indoor Cycling,2021-01-07 17:15:16,false,"Indoor Cycling","0,00","334","00:42:26","152","183","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:42:26","1","00:00:00","00:42:26","--","--"
Indoor Cycling,2021-01-05 17:23:21,false,"Indoor Cycling","0,00","371","00:40:22","168","187","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:40:22","1","00:00:00","00:40:22","--","--"
Indoor Cycling,2021-01-03 19:09:16,false,"Indoor Cycling","0,00","370","00:42:18","162","195","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:42:18","1","00:00:00","00:43:33","--","--"
Indoor Cycling,2021-01-01 16:48:46,false,"Indoor Cycling","0,00","303","00:37:08","158","186","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:37:08","1","00:00:00","00:37:08","--","--"
Indoor Cycling,2020-12-29 18:03:44,false,"Indoor Cycling","0,00","335","00:40:10","157","181","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:40:10","1","00:00:00","00:40:10","--","--"
Indoor Cycling,2020-12-27 12:07:05,false,"Indoor Cycling","19,00","230","00:40:00","154","180","--","28,5","--","--","--","--","--","--","0,0","--","--","--","Nein","00:29:10","1","00:00:00","00:29:10","--","--"
Indoor Cycling,2020-12-25 17:18:12,false,"Indoor Cycling","0,00","204","01:00:18","105","131","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","01:00:18","1","00:00:00","01:00:18","--","--"
